latitude,longitude,index
-29,-67,0.101
-29,-66,0.585
-29,-65,0.384
-29,-64,0.384
-29,-63,0.494
-29,-62,0.565
-29,-61,0.526
-29,-60,0.498
-29,-59,0.491
-29,-58,0.526
-29,-57,0.632
-29,-56,0.632
-29,-55,0.727
-29,-54,0.719
-29,-53,0.683
-29,-52,0.676
-29,-51,0.554
-29,-50,0.746
-29,17,0.057
-29,18,0.065
-29,19,0.089
-29,20,0.117
-29,21,0.14
-29,22,0.152
-29,23,0.176
-29,24,0.211
-29,25,0.231
-29,26,0.235
-29,27,0.274
-29,28,0.286
-29,29,0.298
-29,30,0.278
-29,31,0.282
-29,32,0.365
-29,116,0.27
-29,117,0.199
-29,118,0.191
-29,119,0.18
-29,120,0.132
-29,121,0.16
-29,122,0.191
-29,123,0.195
-29,124,0.191
-29,125,0.187
-29,126,0.223
-29,127,0.195
-29,128,0.156
-29,129,0.243
-29,130,0.199
-29,131,0.199
-29,132,0.187
-29,133,0.168
-29,134,0.16
-29,135,0.077
-29,136,0.089
-29,137,0.105
-29,138,0.026
-29,139,0.109
-29,140,0.117
-29,141,0.132
-29,142,0.187
-29,143,0.172
-29,144,0.215
-29,145,0.172
-29,146,0.223
-29,147,0.199
-29,148,0.243
-29,149,0.207
-29,150,0.172
-29,151,0.215
-29,152,0.25
-29,153,0.589
-28,-71,0.081
-28,-70,0.077
-28,-69,0.05
-28,-68,0.085
-28,-67,0.321
-28,-66,0.455
-28,-65,0.357
-28,-64,0.459
-28,-63,0.455
-28,-62,0.502
-28,-61,0.573
-28,-60,0.577
-28,-59,0.573
-28,-58,0.534
-28,-56,0.766
-28,-55,0.613
-28,-54,0.628
-28,-53,0.727
-28,-52,0.668
-28,-51,0.664
-28,-50,0.64
-28,16,0.05
-28,17,0.081
-28,18,0.101
-28,19,0.14
-28,20,0.14
-28,21,0.14
-28,22,0.176
-28,23,0.191
-28,24,0.246
-28,25,0.227
-28,26,0.239
-28,27,0.219
-28,28,0.27
-28,29,0.246
-28,30,0.25
-28,31,0.435
-28,32,0.333
-28,33,0.471
-28,115,0.29
-28,116,0.187
-28,117,0.203
-28,118,0.183
-28,119,0.183
-28,120,0.18
-28,121,0.183
-28,122,0.183
-28,123,0.14
-28,124,0.168
-28,125,0.203
-28,126,0.168
-28,127,0.156
-28,128,0.199
-28,129,0.168
-28,130,0.156
-28,131,0.172
-28,132,0.191
-28,133,0.199
-28,134,0.191
-28,135,0.105
-28,136,0.113
-28,137,0.124
-28,138,0.101
-28,139,0.128
-28,140,0.12
-28,141,0.124
-28,142,0.164
-28,143,0.144
-28,144,0.176
-28,145,0.164
-28,146,0.231
-28,147,0.254
-28,148,0.243
-28,149,0.195
-28,150,0.219
-28,151,0.317
-28,152,0.239
-28,153,0.306
-27,-71,0.081
-27,-70,0.073
-27,-69,0.018
-27,-68,0.073
-27,-67,0.109
-27,-66,0.439
-27,-65,0.455
-27,-64,0.435
-27,-63,0.526
-27,-62,0.475
-27,-61,0.522
-27,-60,0.672
-27,-59,0.561
-27,-58,0.561
-27,-57,0.628
-27,-56,0.483
-27,-55,0.79
-27,-54,0.676
-27,-53,0.53
-27,-52,0.699
-27,-51,0.809
-27,-50,0.774
-27,16,0.073
-27,17,0.101
-27,18,0.128
-27,19,0.101
-27,20,0.156
-27,21,0.164
-27,22,0.148
-27,23,0.168
-27,24,0.187
-27,25,0.25
-27,26,0.215
-27,27,0.274
-27,28,0.258
-27,29,0.254
-27,30,0.231
-27,31,0.372
-27,32,0.313
-27,33,0.542
-27,114,0.294
-27,115,0.203
-27,116,0.223
-27,117,0.191
-27,118,0.164
-27,119,0.128
-27,120,0.18
-27,121,0.16
-27,122,0.172
-27,123,0.187
-27,124,0.16
-27,125,0.16
-27,126,0.124
-27,127,0.156
-27,128,0.191
-27,129,0.195
-27,130,0.176
-27,131,0.191
-27,132,0.183
-27,133,0.152
-27,134,0.16
-27,135,0.128
-27,136,0.113
-27,137,0.156
-27,138,0.105
-27,139,0.101
-27,140,0.164
-27,141,0.128
-27,142,0.164
-27,143,0.187
-27,144,0.168
-27,145,0.187
-27,146,0.231
-27,147,0.243
-27,148,0.25
-27,149,0.223
-27,150,0.274
-27,151,0.325
-27,152,0.329
-27,153,0.617
-26,-71,0.089
-26,-70,0.061
-26,-69,0.034
-26,-68,0.057
-26,-67,0.176
-26,-66,0.341
-26,-65,0.369
-26,-64,0.404
-26,-63,0.479
-26,-62,0.585
-26,-61,0.644
-26,-60,0.687
-26,-59,0.683
-26,-58,0.546
-26,-57,0.593
-26,-56,0.565
-26,-55,0.384
-26,-54,0.561
-26,-53,0.624
-26,-52,0.707
-26,-51,0.687
-26,-50,0.577
-26,-49,0.628
-26,16,0.14
-26,17,0.117
-26,18,0.144
-26,19,0.128
-26,20,0.16
-26,21,0.152
-26,22,0.168
-26,23,0.176
-26,24,0.187
-26,25,0.172
-26,26,0.219
-26,27,0.302
-26,28,0.223
-26,29,0.27
-26,30,0.278
-26,31,0.593
-26,32,0.439
-26,33,0.388
-26,115,0.235
-26,116,0.168
-26,117,0.136
-26,118,0.136
-26,119,0.144
-26,120,0.144
-26,121,0.144
-26,122,0.168
-26,123,0.16
-26,124,0.136
-26,125,0.156
-26,126,0.172
-26,127,0.152
-26,128,0.172
-26,129,0.183
-26,130,0.156
-26,131,0.195
-26,132,0.172
-26,133,0.187
-26,134,0.195
-26,135,0.164
-26,136,0.152
-26,137,0.172
-26,138,0.144
-26,139,0.117
-26,140,0.089
-26,141,0.187
-26,142,0.148
-26,143,0.306
-26,144,0.262
-26,145,0.29
-26,146,0.309
-26,147,0.282
-26,148,0.404
-26,149,0.416
-26,150,0.239
-26,151,0.471
-26,152,0.313
-26,153,0.53
-25,-71,0.069
-25,-70,0.077
-25,-69,0.097
-25,-68,0.057
-25,-67,0.101
-25,-66,0.483
-25,-65,0.75
-25,-64,0.388
-25,-63,0.542
-25,-62,0.55
-25,-61,0.518
-25,-60,0.652
-25,-59,0.581
-25,-58,0.569
-25,-57,0.554
-25,-56,0.526
-25,-55,0.431
-25,-54,0.443
